Evaluation/Iteration,Evaluation/TerminationRate,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/KL,Evaluation/MinReturn,Evaluation/StdReturn,Evaluation/AverageDiscountedReturn,Evaluation/MaxReturn,GaussianMLPPolicy/LossBefore,GaussianMLPValueFunction/dLoss,TotalEnvSteps,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/KLBefore,GaussianMLPValueFunction/LossAfter,GaussianMLPValueFunction/LossBefore,Evaluation/NumEpisodes,Evaluation/AverageReturn
89,1.0,-0.7412704229354858,0.11386990547180176,0.005492364522069693,65.71533602858779,5.075722399699927,-3.7588540817555702,75.86678082798764,-0.6274005174636841,0.01840496063232422,127231,0.9794636964797974,0.0,4.423704147338867,4.442109107971191,2,70.79105842828771
90,1.0,-3.165161609649658,0.17684364318847656,0.005219264887273312,69.55998949645155,4.4648639435863124,-3.318383107342336,79.16525153078769,-2.9883179664611816,0.07702064514160156,128757,0.982771098613739,0.0,4.58173942565918,4.658760070800781,3,75.87228387179375
91,1.0,-3.515779495239258,0.17737531661987305,0.024831799790263176,77.40650182287989,2.1575569361362836,-2.469016028588237,82.58687201105143,-3.3384041786193848,0.07400846481323242,130009,0.9940831661224365,0.0,4.590911388397217,4.664919853210449,3,80.2986356308121
92,1.0,0.2547120451927185,0.16513901948928833,0.005113454535603523,71.8168936408661,2.2552697675000886,-3.9001337633493076,76.32743317586628,0.41985106468200684,0.05808305740356445,131077,0.993226170539856,0.0,4.5234575271606445,4.581540584564209,2,74.07216340836618
93,1.0,-4.811422348022461,0.17069196701049805,0.010052892379462719,78.08925366453603,1.9512158676171545,-1.3212272405405543,82.86003855904465,-4.640730381011963,0.09637022018432617,132178,0.9970234036445618,0.0,4.538183689117432,4.634553909301758,3,80.55784850687513
94,1.0,-1.4448424577713013,0.09221231937408447,0.0016310354694724083,72.3003329942762,3.923483707164188,-2.200096760594057,81.89845642138812,-1.3526301383972168,0.030894756317138672,133303,0.9999706745147705,0.0,4.63325834274292,4.664153099060059,3,77.24033591313379
95,1.0,-3.5660593509674072,0.05449390411376953,0.0068580047227442265,76.10331870579232,2.639875688712506,-1.9803429813104636,81.82070838172015,-3.5115654468536377,0.03570365905761719,134384,1.0035028457641602,0.0,4.537608623504639,4.573312282562256,3,79.83403787468235
96,1.0,1.6253025531768799,0.23033976554870605,0.0070006223395466805,64.17696750099704,5.033173027532058,-4.362074160118388,74.24331355606115,1.855642318725586,0.11877679824829102,135636,1.009775996208191,0.0,4.378006935119629,4.49678373336792,2,69.2101405285291
97,0.5,2.672222137451172,0.0003364086151123047,0.0012475249823182821,-51.21719288714842,62.17039064754016,-4.269699355291948,73.12358840793189,2.672558546066284,0.13366079330444336,137093,1.0094420909881592,0.0,4.215370178222656,4.3490309715271,2,10.953197760391735
98,1.0,-5.918919563293457,0.13782930374145508,0.005447783041745424,72.75740078174783,0.46391898605656223,-3.838626305287706,73.86142161187914,-5.781090259552002,0.23231935501098633,138486,1.0132142305374146,0.0,4.436899185180664,4.66921854019165,3,73.38711949773145
99,1.0,0.11295228451490402,0.09508813172578812,0.011699185706675053,58.449219873026514,3.345289869406745,-5.508140881403712,65.13979961184,0.20804041624069214,0.03647899627685547,139650,1.0150336027145386,0.0,4.421349048614502,4.457828044891357,2,61.79450974243326
